data,notifiche_inviate,utenti_positivi,notifiche_inviate_totali,utenti_positivi_totali
2020-06-15 00:00:00,0,4,0,4
2020-06-16 00:00:00,0,0,0,4
2020-06-17 00:00:00,0,3,0,7
2020-06-18 00:00:00,0,1,0,8
2020-06-19 00:00:00,0,1,0,9
2020-06-20 00:00:00,0,1,0,10
2020-06-21 00:00:00,0,0,0,10
2020-06-22 00:00:00,0,3,0,13
2020-06-23 00:00:00,0,0,0,13
2020-06-24 00:00:00,0,4,0,17
2020-06-25 00:00:00,0,0,0,17
2020-06-26 00:00:00,0,0,0,17
2020-06-27 00:00:00,0,0,0,17
2020-06-28 00:00:00,0,0,0,17
2020-06-29 00:00:00,0,0,0,17
2020-06-30 00:00:00,0,4,0,21
2020-07-01 00:00:00,0,1,0,22
2020-07-02 00:00:00,0,2,0,24
2020-07-03 00:00:00,0,2,0,26
2020-07-04 00:00:00,0,1,0,27
2020-07-05 00:00:00,0,0,0,27
2020-07-06 00:00:00,0,1,0,28
2020-07-07 00:00:00,0,0,0,28
2020-07-08 00:00:00,0,2,0,30
2020-07-09 00:00:00,0,0,0,30
2020-07-10 00:00:00,0,0,0,30
2020-07-11 00:00:00,0,1,0,31
2020-07-12 00:00:00,0,0,0,31
2020-07-13 00:00:00,0,2,0,33
2020-07-14 00:00:00,0,0,0,33
2020-07-15 00:00:00,0,1,0,34
2020-07-16 00:00:00,0,2,0,36
2020-07-17 00:00:00,2,1,2,37
2020-07-18 00:00:00,10,2,12,39
2020-07-19 00:00:00,6,1,18,40
2020-07-20 00:00:00,2,1,20,41
2020-07-21 00:00:00,3,1,23,42
2020-07-22 00:00:00,3,3,26,45
2020-07-23 00:00:00,10,2,36,47
2020-07-24 00:00:00,13,5,49,52
2020-07-25 00:00:00,10,1,59,53
2020-07-26 00:00:00,2,0,61,53
2020-07-27 00:00:00,5,2,66,55
2020-07-28 00:00:00,4,0,70,55
2020-07-29 00:00:00,13,1,83,56
2020-07-30 00:00:00,10,2,93,58
2020-07-31 00:00:00,5,1,98,59
2020-08-01 00:00:00,9,1,107,60
2020-08-02 00:00:00,3,1,110,61
2020-08-03 00:00:00,22,1,132,62
2020-08-04 00:00:00,64,1,196,63
2020-08-05 00:00:00,15,1,211,64
2020-08-06 00:00:00,35,4,246,68
2020-08-07 00:00:00,29,1,275,69
2020-08-08 00:00:00,15,2,290,71
2020-08-09 00:00:00,11,0,301,71
2020-08-10 00:00:00,29,4,330,75
2020-08-11 00:00:00,22,0,352,75
2020-08-12 00:00:00,9,4,361,79
2020-08-13 00:00:00,12,2,373,81
2020-08-14 00:00:00,6,2,379,83
2020-08-15 00:00:00,2,0,381,83
2020-08-16 00:00:00,17,1,398,84
2020-08-17 00:00:00,11,1,409,85
2020-08-18 00:00:00,128,4,537,89
2020-08-19 00:00:00,66,3,603,92
2020-08-20 00:00:00,49,4,652,96
2020-08-21 00:00:00,37,2,689,98
2020-08-22 00:00:00,26,4,715,102
2020-08-23 00:00:00,94,3,809,105
2020-08-24 00:00:00,96,0,905,105
2020-08-25 00:00:00,92,7,997,112
2020-08-26 00:00:00,62,3,1059,115
2020-08-27 00:00:00,193,17,1252,132
2020-08-28 00:00:00,180,7,1432,139
2020-08-29 00:00:00,144,6,1576,145
2020-08-30 00:00:00,190,2,1766,147
2020-08-31 00:00:00,112,8,1878,155
2020-09-01 00:00:00,118,8,1996,163
2020-09-02 00:00:00,99,11,2095,174
2020-09-03 00:00:00,220,9,2315,183
2020-09-04 00:00:00,135,5,2450,188
2020-09-05 00:00:00,63,5,2513,193
2020-09-06 00:00:00,84,2,2597,195
2020-09-07 00:00:00,122,6,2719,201
2020-09-08 00:00:00,111,5,2830,206
2020-09-09 00:00:00,105,8,2935,214
2020-09-10 00:00:00,145,7,3080,221
2020-09-11 00:00:00,145,10,3225,231
2020-09-12 00:00:00,66,4,3291,235
2020-09-13 00:00:00,54,3,3345,238
2020-09-14 00:00:00,140,9,3485,247
2020-09-15 00:00:00,196,9,3681,256
2020-09-16 00:00:00,173,5,3854,261
2020-09-17 00:00:00,57,4,3911,265
2020-09-18 00:00:00,95,6,4006,271
2020-09-19 00:00:00,92,2,4098,273
2020-09-20 00:00:00,36,0,4134,273
2020-09-21 00:00:00,56,7,4190,280
2020-09-22 00:00:00,127,9,4317,289
2020-09-23 00:00:00,84,6,4401,295
2020-09-24 00:00:00,53,4,4454,299
2020-09-25 00:00:00,161,12,4615,311
2020-09-26 00:00:00,129,2,4744,313
2020-09-27 00:00:00,72,3,4816,316
2020-09-28 00:00:00,122,3,4938,319
2020-09-29 00:00:00,112,1,5050,320
2020-09-30 00:00:00,84,3,5134,323
2020-10-01 00:00:00,102,8,5236,331
2020-10-02 00:00:00,270,12,5506,343
2020-10-03 00:00:00,219,4,5725,347
2020-10-04 00:00:00,106,5,5831,352
2020-10-05 00:00:00,291,13,6122,365
2020-10-06 00:00:00,367,12,6489,377
2020-10-07 00:00:00,601,24,7090,401
2020-10-08 00:00:00,554,23,7644,424
2020-10-09 00:00:00,450,31,8094,455
2020-10-10 00:00:00,544,34,8638,489
2020-10-11 00:00:00,440,20,9078,509
2020-10-12 00:00:00,652,43,9730,552
2020-10-13 00:00:00,667,35,10397,587
2020-10-14 00:00:00,1036,54,11433,641
2020-10-15 00:00:00,1304,69,12737,710
2020-10-16 00:00:00,1723,70,14460,780
2020-10-17 00:00:00,1397,36,15857,816
2020-10-18 00:00:00,1003,44,16860,860
2020-10-19 00:00:00,1040,42,17900,902
