data,ios,android,ios_android,ios_total,android_total,ios_android_total
2020-06-01 00:00:00,137295,157278,294573,137295,157278,294573
2020-06-02 00:00:00,234694,530234,764928,371989,687512,1059501
2020-06-03 00:00:00,187097,713710,900807,559086,1401222,1960308
2020-06-04 00:00:00,76492,782823,859315,635578,2184045,2819623
2020-06-05 00:00:00,50510,810047,860557,686088,2994092,3680180
2020-06-06 00:00:00,19575,824281,843856,705663,3818373,4524036
2020-06-07 00:00:00,35598,878755,914353,741261,4697128,5438389
2020-06-08 00:00:00,54845,1009734,1064579,796106,5706862,6502968
2020-06-09 00:00:00,19422,1022710,1042132,815528,6729572,7545100
2020-06-10 00:00:00,9878,1090342,1100220,825406,7819914,8645320
2020-06-11 00:00:00,10758,1138135,1148893,836164,8958049,9794213
2020-06-12 00:00:00,15872,1188164,1204036,852036,10146213,10998249
2020-06-13 00:00:00,30599,1252447,1283046,882635,11398660,12281295
2020-06-14 00:00:00,25407,1342989,1368396,908042,12741649,13649691
2020-06-15 00:00:00,78873,1549482,1628355,986915,14291131,15278046
2020-06-16 00:00:00,38139,1645944,1684083,1025054,15937075,16962129
2020-06-17 00:00:00,24635,1817460,1842095,1049689,17754535,18804224
2020-06-18 00:00:00,19486,1871685,1891171,1069175,19626220,20695395
2020-06-19 00:00:00,15299,1810409,1825708,1084474,21436629,22521103
2020-06-20 00:00:00,15813,1879057,1894870,1100287,23315686,24415973
2020-06-21 00:00:00,16633,1941756,1958389,1116920,25257442,26374362
2020-06-22 00:00:00,10452,1965697,1976149,1127372,27223139,28350511
2020-06-23 00:00:00,10011,1983897,1993908,1137383,29207036,30344419
2020-06-24 00:00:00,7390,1998331,2005721,1144773,31205367,32350140
2020-06-25 00:00:00,8341,2011738,2020079,1153114,33217105,34370219
2020-06-26 00:00:00,9082,2027759,2036841,1162196,35244864,36407060
2020-06-27 00:00:00,8118,2046813,2054931,1170314,37291677,38461991
2020-06-28 00:00:00,10172,2068885,2079057,1180486,39360562,40541048
2020-06-29 00:00:00,5708,2075677,2081385,1186194,41436239,42622433
2020-06-30 00:00:00,4408,2080350,2084758,1190602,43516589,44707191
2020-07-01 00:00:00,4389,2120654,2125043,1194991,45637243,46832234
2020-07-02 00:00:00,4152,2127488,2131640,1199143,47764731,48963874
2020-07-03 00:00:00,5908,2135146,2141054,1205051,49899877,51104928
2020-07-04 00:00:00,4870,2140341,2145211,1209921,52040218,53250139
2020-07-05 00:00:00,4613,2144991,2149604,1214534,54185209,55399743
2020-07-06 00:00:00,5515,2151261,2156776,1220049,56336470,57556519
2020-07-07 00:00:00,4001,2153402,2157403,1224050,58489872,59713922
2020-07-08 00:00:00,3377,2152572,2155949,1227427,60642444,61869871
2020-07-09 00:00:00,3361,2153468,2156829,1230788,62795912,64026700
2020-07-10 00:00:00,3590,2154852,2158442,1234378,64950764,66185142
2020-07-11 00:00:00,2924,2155697,2158621,1237302,67106461,68343763
2020-07-12 00:00:00,2625,2155060,2157685,1239927,69261521,70501448
2020-07-13 00:00:00,2251,2153899,2156150,1242178,71415420,72657598
2020-07-14 00:00:00,2307,2157655,2159962,1244485,73573075,74817560
2020-07-15 00:00:00,2334,2171338,2173672,1246819,75744413,76991232
2020-07-16 00:00:00,2618,2188801,2191419,1249437,77933214,79182651
2020-07-17 00:00:00,2932,2211071,2214003,1252369,80144285,81396654
2020-07-18 00:00:00,2697,2226176,2228873,1255066,82370461,83625527
2020-07-19 00:00:00,2798,2241260,2244058,1257864,84611721,85869585
2020-07-20 00:00:00,2420,2254298,2256718,1260284,86866019,88126303
2020-07-21 00:00:00,2457,2267424,2269881,1262741,89133443,90396184
2020-07-22 00:00:00,2532,2280539,2283071,1265273,91413982,92679255
2020-07-23 00:00:00,4666,2299974,2304640,1269939,93713956,94983895
2020-07-24 00:00:00,4613,2314945,2319558,1274552,96028901,97303453
2020-07-25 00:00:00,2910,2316299,2319209,1277462,98345200,99622662
2020-07-26 00:00:00,3007,2315142,2318149,1280469,100660342,101940811
2020-07-27 00:00:00,2537,2313394,2315931,1283006,102973736,104256742
2020-07-28 00:00:00,2357,2313575,2315932,1285363,105287311,106572674
2020-07-29 00:00:00,3387,2320805,2324192,1288750,107608116,108896866
2020-07-30 00:00:00,2779,2327507,2330286,1291529,109935623,111227152
2020-07-31 00:00:00,4883,2339908,2344791,1296412,112275531,113571943
2020-08-01 00:00:00,4220,2348838,2353058,1300632,114624369,115925001
2020-08-02 00:00:00,3298,2355300,2358598,1303930,116979669,118283599
2020-08-03 00:00:00,3083,2360298,2363381,1307013,119339967,120646980
2020-08-04 00:00:00,3368,2361443,2364811,1310381,121701410,123011791
2020-08-05 00:00:00,4042,2365111,2369153,1314423,124066521,125380944
2020-08-06 00:00:00,4641,2371052,2375693,1319064,126437573,127756637
2020-08-07 00:00:00,4027,2375897,2379924,1323091,128813470,130136561
2020-08-08 00:00:00,3067,2378090,2381157,1326158,131191560,132517718
2020-08-09 00:00:00,3271,2380603,2383874,1329429,133572163,134901592
2020-08-10 00:00:00,3857,2383359,2387216,1333286,135955522,137288808
2020-08-11 00:00:00,4231,2389010,2393241,1337517,138344532,139682049
2020-08-12 00:00:00,4588,2395547,2400135,1342105,140740079,142082184
2020-08-13 00:00:00,4693,2401659,2406352,1346798,143141738,144488536
2020-08-14 00:00:00,5116,2408141,2413257,1351914,145549879,146901793
2020-08-15 00:00:00,4071,2413461,2417532,1355985,147963340,149319325
2020-08-16 00:00:00,4770,2420644,2425414,1360755,150383984,151744739
2020-08-17 00:00:00,12046,2440401,2452447,1372801,152824385,154197186
2020-08-18 00:00:00,7865,2453003,2460868,1380666,155277388,156658054
2020-08-19 00:00:00,7691,2465476,2473167,1388357,157742864,159131221
2020-08-20 00:00:00,9423,2482638,2492061,1397780,160225502,161623282
2020-08-21 00:00:00,9053,2500105,2509158,1406833,162725607,164132440
2020-08-22 00:00:00,8933,2517599,2526532,1415766,165243206,166658972
2020-08-23 00:00:00,10443,2538335,2548778,1426209,167781541,169207750
2020-08-24 00:00:00,11862,2557665,2569527,1438071,170339206,171777277
2020-08-25 00:00:00,13600,2586657,2600257,1451671,172925863,174377534
2020-08-26 00:00:00,15476,2615302,2630778,1467147,175541165,177008312
2020-08-27 00:00:00,13887,2635665,2649552,1481034,178176830,179657864
2020-08-28 00:00:00,10417,2656367,2666784,1491451,180833197,182324648
2020-08-29 00:00:00,7639,2669611,2677250,1499090,183502808,185001898
2020-08-30 00:00:00,7025,2680932,2687957,1506115,186183740,187689855
2020-08-31 00:00:00,12300,2705123,2717423,1518415,188888863,190407278
2020-09-01 00:00:00,8219,2720422,2728641,1526634,191609285,193135919
2020-09-02 00:00:00,7661,2732537,2740198,1534295,194341822,195876117
2020-09-03 00:00:00,7261,2743872,2751133,1541556,197085694,198627250
2020-09-04 00:00:00,8033,2758480,2766513,1549589,199844174,201393763
2020-09-05 00:00:00,7144,2771057,2778201,1556733,202615231,204171964
2020-09-06 00:00:00,7254,2780255,2787509,1563987,205395486,206959473
2020-09-07 00:00:00,6788,2789260,2796048,1570775,208184746,209755521
